sample_id,idtest_run,test_type,idtest_recipe,Test_Version,test_run_start_datetime,RunIndex,test_request_name,ElectricalTestTool,ElectricalTestChannel,is_discharge_only,ChargeCapacity,CapacityChargeFraction,dvdt,min_track_cycle_voltage,CycleIndex,CumulativeCycles,TestCycleStart_datetime,TestCycleStart_date,TestCycleStart_week,TestCycleEnd_datetime,TestCycleStart_datetime_first,TestCycleStart_week_first,TestCycleEnd_date,TestCycleEnd_week,track_cycle_count_cumulative,MiscTestAnomaly,ReliabilityCycles,CompletedCharge,CycleFailure,dvdt_failure,min_track_cycle_voltage_failure,CapacityChargeFraction_failure,AnyFailure,ChargeCapacity_failure,Experiment,Batch,WorkWeek,Group,ML Tier,center_normalized_0_5mm_eroded_rect_outside_median_us,Condition,Shorted
FCD006AD-PS00-02,189182964,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 9:26,35,JNL0209,SJ2-Maccor06,5,0,1040.4713,0.6976801,-5.557752,2.95865,1,56,2/20/2025 9:26,2/20/2025,Y2025-W08,2/20/2025 11:18,2/13/2025 20:58,Y2025-W07,2/20/2025,Y2025-W08,46,,46,,FALSE,0,0,0,FALSE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.0087594985961914,,FALSE
FCD006AD-PS00-03,189152607,E31,15936,R6_B0_TC_45C_8lap_V1,2/16/2025 6:28,11,JNL0209,SJ2-Maccor06,21,0,1367.4521,0.916179,-37.560298,2.99123,2,9,2/16/2025 8:20,2/16/2025,Y2025-W08,2/16/2025 10:24,2/13/2025 20:55,Y2025-W07,2/16/2025,Y2025-W08,7,,7,,TRUE,1,0,0,TRUE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.0125676393508911,,TRUE
FCD006AD-PS00-04,189171395,E31,15936,R6_B0_TC_45C_8lap_V1,2/19/2025 8:14,29,JNL0209,SJ2-Maccor06,25,0,1357.7485,0.91027534,-35.55267,2.98032,4,47,2/19/2025 14:04,2/19/2025,Y2025-W08,2/19/2025 16:06,2/13/2025 20:56,Y2025-W07,2/19/2025,Y2025-W08,39,,39,,TRUE,1,0,0,TRUE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.0236235857009888,,TRUE
FCD006AD-PS00-05,189180363,E31,15936,R6_B0_TC_45C_8lap_V1,2/19/2025 21:59,32,JNL0209,SJ2-Maccor06,29,0,1287.8231,0.8626896,-5.206854,2.95216,5,54,2/20/2025 5:51,2/20/2025,Y2025-W08,2/20/2025 7:51,2/13/2025 20:58,Y2025-W07,2/20/2025,Y2025-W08,45,,45,,FALSE,0,0,0,FALSE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.025322437286377,,FALSE
FCD006AD-PS00-06,189180080,E31,15936,R6_B0_TC_45C_8lap_V1,2/19/2025 21:19,32,JNL0209,SJ2-Maccor06,85,0,1284.633,0.86092186,-5.3813847,2.96307,5,54,2/20/2025 5:10,2/20/2025,Y2025-W08,2/20/2025 7:09,2/13/2025 20:57,Y2025-W07,2/20/2025,Y2025-W08,45,,45,,FALSE,0,0,0,FALSE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.0288174152374268,,FALSE
FCD006AD-PS00-07,189156206,E31,15936,R6_B0_TC_45C_8lap_V1,2/16/2025 19:01,14,JNL0209,SJ2-Maccor23,85,0,1311.365,0.8785777,-18.417993,3.0032,5,18,2/17/2025 2:55,2/17/2025,Y2025-W08,2/17/2025 4:56,2/13/2025 20:54,Y2025-W07,2/17/2025,Y2025-W08,15,,15,,TRUE,1,0,0,TRUE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.0321940183639526,,TRUE
FCD006AD-PS00-08,189180196,E31,15936,R6_B0_TC_45C_8lap_V1,2/19/2025 21:38,32,JNL0209,SJ2-Maccor23,89,0,1284.4464,0.85956395,-5.2931255,2.97086,5,54,2/20/2025 5:30,2/20/2025,Y2025-W08,2/20/2025 7:30,2/13/2025 20:56,Y2025-W07,2/20/2025,Y2025-W08,45,,45,,FALSE,0,0,0,FALSE,,FCD006,FCD006AD,Y2025-W07,FCD006,Tier 1,1.0386404991149902,,FALSE
FCD008AA-PS00-01,189181993,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 5:56,11,VAM0477,SJ2-Maccor22,25,0,1270.5651,0.85314053,-4.275806,3.07263,3,10,2/20/2025 9:47,2/20/2025,Y2025-W08,2/20/2025 11:45,2/8/2025 20:56,Y2025-W06,2/20/2025,Y2025-W08,8,,8,,FALSE,0,0,0,FALSE,,FCD008,FCD008AA,Y2025-W06,FCD008,Tier 1,1.0798949003219604,Jetting POR,FALSE
FCD008AA-PS00-02,189181995,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 6:00,11,VAM0477,SJ2-Maccor22,33,0,1282.6605,0.8600206,-4.3567807,2.9649,3,10,2/20/2025 9:53,2/20/2025,Y2025-W08,2/20/2025 11:52,2/8/2025 20:56,Y2025-W06,2/20/2025,Y2025-W08,8,,8,,FALSE,0,0,0,FALSE,,FCD008,FCD008AA,Y2025-W06,FCD008,Tier 1,1.0663702487945557,Jetting POR,FALSE
FCD008AA-PS00-03,189181991,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 5:54,11,VAM0477,SJ2-Maccor22,49,0,1276.297,0.83767956,-4.026491,3.03212,3,10,2/20/2025 9:45,2/20/2025,Y2025-W08,2/20/2025 11:43,2/8/2025 20:30,Y2025-W06,2/20/2025,Y2025-W08,8,,8,,FALSE,0,0,0,FALSE,,FCD008,FCD008AA,Y2025-W06,FCD008,Tier 1,1.071188211,Jetting POR,FALSE
